SID,WORD,POS,Context,
1,abolish,v.,The government decided to abolish the outdated law.,
2,abortion,n.,The debate over abortion rights remains a controversial issue.,
3,absence,n.,His absence from work was noticed by his colleagues.,
4,absent,adj.,She was absent from school due to illness.,
5,absurd,adj.,The idea of time travel seemed completely absurd.,
6,abundance,n.,The region is known for its abundance of natural resources.,
7,abuse,n.,Child abuse is a serious issue that must be addressed.,
8,abuse,v.,He was accused of abusing his authority for personal gain.,
9,academy,n.,She was accepted into a prestigious music academy.,
10,accelerate,v.,The new engine design helps accelerate the car's speed.,
11,acceptance,n.,Her acceptance into the program brought her great joy.,
12,accessible,adj.,This website is accessible to people with disabilities.,
13,accomplishment,n.,Graduating from college was his greatest accomplishment.,
14,accordance,n.,All procedures must be carried out in accordance with the law.,
15,accordingly,adv.,She followed the instructions accordingly and completed the task successfully.,
16,accountability,n.,Leaders must take accountability for their decisions.,
17,accountable,adj.,Parents are accountable for their children's safety.,
18,accumulate,v.,"Over the years,  she managed to accumulate a large collection of books.",
19,accumulation,n.,The accumulation of snow made the roads slippery.,
20,accusation,n.,He denied the accusation of stealing the money.,
21,accused,n.,The accused stood before the judge awaiting trial.,
22,acid,adj.,Lemons have a strong acid taste due to their high citrus content.,
23,acquisition,n.,The company announced the acquisition of a new technology firm.,
24,acre,n.,They own a few acres of farmland outside the city.,
25,activation,n.,Activation of the security system requires a password.,
26,activist,n.,The activist campaigned for environmental protection.,
27,acute,adj.,She felt an acute pain in her stomach.,
28,adaptation,n.,The movie is an adaptation of a famous novel.,
29,adhere,v.,Students must adhere to the school's dress code.,
30,adjacent,adj.,The hotel is adjacent to a large shopping mall.,
31,adjustment,n.,He made a small adjustment to the chair to make it more comfortable.,
32,administer,v.,The nurse will administer the vaccine to the patients.,
33,administrative,adj.,She works in an administrative role at the university.,
34,administrator,n.,The school administrator is responsible for managing staff and students.,
35,admission,n.,Admission to the museum is free on Sundays.,
36,adolescent,n.,Adolescents often experience rapid emotional changes.,
37,adoption,n.,The adoption of new technology can improve productivity.,
38,adverse,adj.,Smoking has adverse effects on health.,
39,advocate,n.,She is an advocate for animal rights.,
40,advocate,v.,He strongly advocates for free education for all.,
41,aesthetic,adj.,The house has a unique aesthetic appeal.,
42,affection,n.,She showed great affection for her younger brother.,
43,aftermath,n.,The aftermath of the earthquake left many people homeless.,
44,aggression,n.,The dog's aggression towards strangers was concerning.,
45,agricultural,adj.,The country's economy is heavily dependent on agricultural production.,
46,aide,n.,The president‚Äôs aide helped organize the meeting.,
47,albeit,conj.,He agreed to come albeit reluctantly.,
48,alert,v.,He quickly alerted the police about the suspicious activity.,
49,alert,n.,The government issued a weather alert for heavy rainfall.,
50,alien,adj.,He felt alien in a country where he didn't speak the language.,
51,align,v.,She aligned the pictures on the wall perfectly.,
52,alignment,n.,Proper alignment of the tires improves the car's performance.,
53,alike,adv.,They think alike despite their different backgrounds.,
54,alike,adj.,The twins look so alike that it is hard to tell them apart.,
